Airfoil,Efficiency
ls417mod.dat,50.7834
goe573.dat,50.5856
lrn1015.dat,50.3503
ls417.dat,50.2724
isa960.dat,50.2335
k2.dat,49.6574
goe797.dat,49.2807
goe562.dat,49.2433
k3.dat,49.2060
goe601.dat,48.9833
mh22.dat,48.7993
goe604.dat,48.5440
ht34.dat,48.2914
hor20.dat,47.7939
goe575.dat,47.2377
ls421mod.dat,46.6944
goe92.dat,46.6416
goe592.dat,46.4274
la5055.dat,46.2620
goe770.dat,45.6764
ist-mt1-24.dat,44.9183
mi-vawt1.dat,44.7019
ls421.dat,44.1549
hq09.dat,43.5436
goe614.dat,43.2436
goe777.dat,42.9576
goe798.dat,37.9836
goe598.dat,37.5746
goe572.dat,35.4928
hq07.dat,31.3602
l1003.dat,28.3476
mi-strut1.dat,16.1541
gu255118.dat,14.7988
mh126.dat,13.3207
griffith30SymSuction.dat,12.7883
goe571.dat,10.0099
goe780.dat,1.6078
goe561.dat,1.5243
oaf139.dat,nan
pmc19sm.dat,61.0450
oaf095.dat,60.0850
nl722362.dat,59.4253
nlr1t.dat,59.3168
prandtl-d-wingtip.dat,nan
psu94097.dat,59.9187
oa209.dat,59.6436
n63412.dat,59.3168
n6409.dat,59.1547
n64212mb.dat,58.1485
n11h9.dat,58.0446
npl9660.dat,57.9410
ncambre.dat,57.7864
npl9615.dat,57.5815
n11.dat,57.3780
n10.dat,57.2768
pt40.dat,57.2768
psu-90-125wl.dat,57.1760
n63212.dat,56.7266
oaf102.dat,56.6276
oaf117.dat,55.9930
n8h12.dat,55.8966
n22.dat,55.8486
ms313.dat,55.7049
n6h10.dat,55.5619
