Airfoil,Efficiency
goe418.dat,120.3419
goe101.dat,118.9155
goe424.dat,117.7115
goe436.dat,116.5556
goe442.dat,116.0403
goe438.dat,115.9808
goe421.dat,114.6644
goe419.dat,113.9355
goe456.dat,112.7973
goe415.dat,112.1521
gm15sm.dat,110.1859
fxm2.dat,108.8228
goe450.dat,104.3440
goe420.dat,104.0572
goe435.dat,103.7315
goe427.dat,102.5829
fxs03182.dat,100.8150
geminism.dat,99.0382
fxs21158.dat,98.8842
fx84w218.dat,98.5792
goe09k.dat,98.3654
goe121.dat,96.7162
goe116.dat,91.1333
goe118.dat,90.6426
glennmartin3.dat,83.5934
goe117.dat,82.1570
goe11k.dat,81.6412
glennmartin4.dat,80.4929
goe100.dat,77.7578
glennmartin2.dat,74.4373
goe407.dat,73.6761
goe439.dat,73.4370
goe05k.dat,73.0782
goe122.dat,72.0358
giiin.dat,71.8706
goe416a.dat,71.8110
giiim.dat,71.4269
giiil.dat,68.8864
giiik.dat,67.9930
goe10k.dat,67.4305
giiij.dat,66.5607
giiii.dat,64.2628
giiih.dat,61.8552
fxs02196.dat,61.8107
giiig.dat,60.3276
goe432.dat,59.2830
giiie.dat,58.7468
giiif.dat,58.6790
giiid.dat,58.5117
goe457.dat,57.7590
goe133.dat,57.1501
giiic.dat,56.5952
goe114.dat,55.2417
giiib.dat,52.2719
fxl142k.dat,45.3937
goe410.dat,44.8919
fxlv152.dat,42.7650
goe113.dat,38.1541
goe409.dat,33.7661
goe411.dat,28.0982
goe429.dat,26.9228
goe257.dat,26.6972
goe443.dat,24.5148
goe444.dat,18.3913
goe574.dat,721.1268
goe482.dat,175.6413
goe652.dat,162.1827
hq300gd2.dat,158.1510
goe500.dat,154.8016
goe529.dat,152.5423
goe584.dat,149.9054
goe528.dat,147.9584
goe508.dat,147.6445
goe573.dat,147.3961
goe562.dat,146.4311
goe501.dat,144.7924
goe527.dat,144.7284
goe692.dat,143.8058
goe591.dat,143.7169
goe523.dat,143.1521
goe525.dat,143.1521
goe533.dat,140.9463
goe553.dat,140.3929
goe610bm.dat,140.3765
goe496.dat,140.0642
goe462.dat,138.5553
hq17.dat,138.4764
goe503.dat,136.8656
goe502.dat,136.5973
goe611.dat,136.1311
goe499.dat,136.0539
goe549.dat,135.5498
goe675.dat,134.4616
goe547.dat,134.2439
goe550.dat,133.6747
goe497.dat,133.6019
goe478.dat,133.0410
goe567.dat,132.8574
goe624.dat,132.7524
goe592.dat,132.0634
goe682.dat,130.5778
goe494.dat,130.4228
goe701.dat,129.1333
goe535.dat,129.0702
goe517.dat,128.8643
goe498.dat,128.6639
goe654.dat,126.8197
goe493.dat,126.5556
goe509.dat,126.3944
goe596.dat,126.0218
goe526.dat,125.9891
hq358.dat,125.9811
hq359.dat,125.3765
goe479.dat,124.8881
goe504.dat,124.3300
