Airfoil,Efficiency
ht21.dat,35.7252
j5012.dat,35.6592
mh27.dat,35.3545
l1003.dat,28.3533
mh126.dat,12.1828
griffith30SymSuction.dat,1.9061
mh93.dat,nan
usa50.dat,384.6132
n6409.dat,96.0943
n11.dat,94.2140
oaf095.dat,94.1159
n22.dat,93.9221
n10.dat,91.8764
nlf0215f.dat,84.6933
n9.dat,82.6017
oaf102.dat,81.0752
nasasc2-0714.dat,77.2655
n24.dat,76.5763
nlf416.dat,75.7002
ms313.dat,72.8530
n63412.dat,71.8494
mue139.dat,70.6278
nlf1015.dat,68.7225
ms317.dat,67.6588
n63415.dat,67.6469
n642415.dat,66.4519
nn7mk20.dat,65.4386
oaf117.dat,64.9745
mrc-16.dat,62.7206
nl722343.dat,61.7908
miley.dat,61.6045
n64212ma.dat,61.2285
n2414.dat,57.7243
n64212mb.dat,57.4443
oa213.dat,56.4770
nlf414f.dat,56.3783
mrc-20.dat,56.3200
n11h9.dat,56.0936
